url,written,written_human_readable,origin,shape,shards,chunks,license,name,description,organismId,fbbiId,wells,images
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41749.ome.zarr,30349696896.0,28.27 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5960,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41749.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41754.ome.zarr,30707672832.0,28.60 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5961,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41754.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41757_illum_corrected.ome.zarr,29649826483.199997,27.61 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5972,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41757_illum_corrected.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41744.ome.zarr,30838805222.4,28.72 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5958,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41744.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41756_illum_corrected.ome.zarr,28751773132.8,26.78 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5971,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41756_illum_corrected.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41755.ome.zarr,30424918809.6,28.34 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5962,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41755.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41756.ome.zarr,29714174438.4,27.67 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5964,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41756.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41755_illum_corrected.ome.zarr,28531075737.6,26.57 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5970,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41755_illum_corrected.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41749_illum_corrected.ome.zarr,29308648089.6,27.30 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5968,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41749_illum_corrected.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0033/41754_illum_corrected.ome.zarr,28952436096.0,26.96 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5969,"1,5,1,1080,1080","1,5,1,1080,1080","1,1,1,540,540",https://creativecommons.org/licenses/by/4.0/,Rohban: Systematic morphological profiling of human gene and allele function via Cell Painting: idr0033/41754_illum_corrected.ome.zarr,Morphological profiling of overexpression constructs related to the signaling pathways.,NCBI:txid9606,obo:FBbi_00000246,384,3456
