url,written,written_human_readable,origin,shape,shards,chunks,license,name,description,organismId,fbbiId
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week3_25421.ome.zarr,1008745536.0000001,962.01 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6276,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week3_25421.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week9_39282.ome.zarr,855823056.0,816.18 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6287,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week9_39282.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week9_39221.ome.zarr,979264992.0,933.90 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6271,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week9_39221.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week1_22361.ome.zarr,975093840.0,929.92 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6273,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week1_22361.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week7_34681.ome.zarr,963220656.0,918.60 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6295,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week7_34681.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week10_40115.ome.zarr,982984464.0,937.45 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6252,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week10_40115.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week4_27481.ome.zarr,953610432.0,909.43 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6290,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week4_27481.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week3_25701.ome.zarr,979944624.0,934.55 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6256,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week3_25701.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week7_34641.ome.zarr,993321120.0,947.30 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6300,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week7_34641.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0035/Week5_28921.ome.zarr,1016358528.0,969.28 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6284,"1,3,1,1024,1280","1,3,1,1024,1280","1,1,1,512,640",https://creativecommons.org/licenses/by/4.0/,Caie: High-content phenotypic profiling of drug response signatures across distinct cancer cells.: idr0035/Week5_28921.ome.zarr,"The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy.",NCBI:txid9606,obo:FBbi_00000246
