url,written,written_human_readable,origin,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId,wells,images
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20596.ome.zarr,8758414310.4,8.16 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4890,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20596.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20591.ome.zarr,8749757030.4,8.15 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4883,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20591.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20633.ome.zarr,8201783347.200001,7.64 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4899,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20633.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20589.ome.zarr,8928305740.8,8.32 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4705,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20589.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20641.ome.zarr,7832833920.0,7.29 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4903,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20641.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20593.ome.zarr,8816376268.8,8.21 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4886,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20593.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20608.ome.zarr,8678821939.2,8.08 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4893,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20608.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20595.ome.zarr,8312008320.0,7.74 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4889,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20595.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20585.ome.zarr,8515083571.200001,7.93 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4403,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20585.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0036/20639.ome.zarr,8786164608.0,8.18 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4900,"5,520,696","5,520,696","1,260,348","c,y,x",https://creativecommons.org/licenses/by/4.0/,Gustafsdottir: Multiplex cytological profiling assay to measure diverse cellular states.: idr0036/20639.ome.zarr,The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the 'Cell Painting' assay),NCBI:txid9606,obo:FBbi_00000246,384,3456
